¿Qué es la orientación vocacional?	Es el proceso para facilitar la elección de una carrera o rol profesonal	Sitios de interés
¿Qué es la orientación educativa?	Es el acompañamiento integral en la trayectoria escolar de los estudiantes	
¿Cuándo debo empezar a pensar en mi orientación vocacional?	Es recomendable que empieces a pensar en tu orientación vocacional desde el final de la educación secundaria e inicios de la educación media superior (bachillerato)	
¿Cómo puedo saber cuál es la carrera universitaria ideal para mí?	Existen diversas herramientas y recursos que pueden ayudarte a descubrir tus habilidades e intereses, como por ejemplo: cuestionarios de orientación vocacional, pruebas de aptitudes y habilidades, exploración de opciones académicas y profesionales, entre otros.	
¿Qué aspectos debo tomar en cuenta al elegir mi carrera universitaria? 	Debes considerar tus intereses, habilidades, aptitudes, personalidad, metas y expectativas profesionales, así como también la demanda y las oportunidades laborales del mercado en el que deseas trabajar.	
¿Qué pruebas de orientación vocacional tiene la UNAM?	La UNAM, a través de la DGOAE, te ofrece instrumentos como el PROUNAM e INVOCA, para conocer tus intereres y aptitudes, así como el sistema de intereses vocacionales SEIVOC, este último es autogestivo y en línea	
¿Dónde puedo recibir orientación individual?	Puedes solicitar atención individual a través del COE en línea	Instrumentos Vocacionales
¿Dónde puedo revisar las convocatorias para becas UNAM?	En el portal de becarios de la UNAM	Registro
¿Qué debo hacer si ya elegí una carrera universitaria y luego descubro que no es lo que esperaba?	s importante que no te desanimes y que busques opciones para solucionar el problema, como por ejemplo: hablar con un orientador, buscar información sobre otras carreras, tomar tiempo y perspectiva para tomar una decisión	Becarios UNAM
¿Cómo puedo prepararme para el examen de admisión a la UNAM?	Es recomendable que estudies con anticipación, practiques con instrumentos como pruébate UNAM y que te informes sobre el proceso de admisión y los requisitos necesarios. Al realizar tu registro al concurso de selección podrás descargar una guía de estudio. 	Registro
¿Existe algún curso de ingreso a la UNAM?	"La UNAM no tiene acuerdos ni convenios con ninguna institución u organización que ofrezca cursos de preparación para aprobar el Examen de Selección a Licenciatura. Por esta razón, la oferta de ""ayuda o garantía de ingreso"" que se ofrecen en algunos de estos ""cursos"" o en redes sociales es totalmente falsa, ya que como se ha mencionado, no es posible ingresar a la UNAM si no eres aceptado mediante el Concurso de Selección a Licenciatura."	Pruébate UNAM
¿Dónde puedo revisar la oferta de carreras de la UNAM? 	Puedes descargar la guía de carreras en formato EPUB o bien en el sitio de oferta académica de la UNAM	
¿Cuál es el ambiente estudiantil en la UNAM?	El ambiente estudiantil en la UNAM es muy diverso y multicultural, y se caracteriza por la libertad de pensamiento, la tolerancia y el respeto hacia la diversidad. Además, existen numerosas actividades extracurriculares y grupos estudiantiles en los que puedes participar para enriquecer tu experiencia universitaria. Cada escuela y facultad tiene sus propias características. 	guía de carreras , Oferta académica UNAM
¿Cómo puedo prepararme para mi futuro laboral mientras estudio?	Es recomendable que te involucres en actividades extracurriculares, programas de prácticas profesionales, voluntarios y proyectos académicos que te permitan desarrollar habilidades y experiencias relevantes para tu carrera profesional.	
¿Dónde puedo realizar mi servicio social?	Para iniciar tu servicio social es requisito contar con el 70% de créditos de la carrera o el porcentaje de créditos autorizado por el Consejo Técnico de tu facultad o escuela. Debe realizarse en un tiempo no menor a 6 meses ni mayor a 2 años y cubrir 480 horas como mínimo. Puedes revisar las opciones en el Sistema Automatizado de Información de Servicio Social (SIASS)	Voluntariado , Prácticas profesionales
¿Cómo puedo mejorar mis competencias laborales?	La Bolsa Universitaria de Trabajo realiza diversas actividades para la inserción al mundo laboral, te invitamos a hacer tu registro	SIASS
¿Cómo puedo ingresar a la UNAM?	Principalmente a través del concurso de selección	Registro BUT
¿Dónde puedo hacer prácticas profesonales?	Puedes revisar la oferta de prácticas profesionale a través del Sistema de Información Automatizada de Prácticas Profesionales (SIAPP)	¿Cómo Ingreso a la UNAM?
¿Cuándo salen las convocatorias para ingresar a licenciatura?	Son dos: Convocatoria en Enero, ingreso en Agosto a los Sistemas Escolarizado y Universidad Abierta y Educación a Distancia (SUAyED), modalidades Abierta y a Distancia. Y convocatoria en Septiembre, ingreso al Sistema Universidad Abierta y Educación a Distancia (SUAyED), modalidades Abierta y a Distancia.	SIAPP
¿Dónde puedo sacar mi credencial de exalumno?	En TU TIENDA UNAM (cerca de metro universidad), sólo debes proporcionar: número de cuenta. identificación oficial y cubrir el costo en efectivo (100$)	Admisión a Licenciatura - UNAM
¿Qué área o materias debo elegir en el último año del bachillerato?	Recuerda que debes elegir las materias relacionadas con el área de la carrera que deseas estudiar, ya que te servirá para reafirmar tu elección y te permitirá tener conocimientos generales básicos para el inicio de tu carrera.	Tienda UNAM
¿Qué son lás áreas de conocimiento?	Son la forma en que se clasifican las carreras de acuerdo al campo de conocimiento al que pertenecen: 1. Ciencias Físico-Matemáticas y de las Ingenierías; 2. Ciencias Biológicas, 3. Químicas y de la Salud; 4. Ciencias Sociales y Humanidades y Artes. 	
¿Qué premios y reconocimientos existen para estudiantes?	La DGOAE otorga los siguientes reconocimientos y premios: Talento Bachiller Universitario, Dr Gustavo Baz Prada (Servicio Social), Presea Ingeniero Bernardo Quintana Arrioja (Valores y cualidades), Reconocimiento a Estudiantes de Alto Rendimiento Académico (Mejor Promedio).	Oferta académica UNAM
		Premios y Reconocimientos | DGOAE
